name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
Beyond Retro Coal Drops,"Unit 79-81, Coal Drops Yard, London",51.5365259,-0.1259221,4.0,Camden,298,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Rokit Camden,"225 Camden High St, London",51.5398923,-0.143589,4.1,Camden,299,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Past Trash,"38 Neal St, London",51.5143694,-0.1253947,4.7,Camden,300,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Wings Vintage,"105A Euston St., London",51.526494,-0.1363579,4.0,Camden,301,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
St Cyr Vintage,"56 Saddle Row Camden Market, London",51.5421391,-0.1483749,4.3,Camden,302,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Berty and Gerty Vintage,"53 Camden Lock Pl, London",51.5413907,-0.1465884,0.0,Camden,303,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
What Goes Around Comes Around,"Unit 32, The Stables Market Chalk, Farm Road, London",51.5420969,-0.1466583,3.9,Camden,304,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Camden Threads - An online shop for the best independent brands and vintage boutiques,"44A Camden Lock Pl, London",51.5414567,-0.1463852,0.0,Camden,305,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Dunno. Curated,"8 Berwick St, London",51.5132162,-0.134507,4.7,Westminster,306,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Gong Nong Bing Vintage,"68 Charing Cross Rd, London",51.5124053,-0.1284323,5.0,Westminster,307,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Dream Retro,"2nd Floor, Alfies Antiques Market, 13- 25 Church St, London",51.5241887,-0.1688101,0.0,Westminster,308,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
